Код услуги;Добавление в заказе;Название;Описание
3;Разрешено;ДОСТАВКА В ВЫХОДНОЙ ДЕНЬ;Компания СДЭК осуществляет доставку и отправление документов и грузов в выходные и нерабочие дни. При доставке или отправлении документов или грузов в выходной день к базовому тарифу добавляется 300 руб.
16;Разрешено;ЗАБОР В ГОРОДЕ ОТПРАВИТЕЛЕ ;Дополнительная услуга забора груза в городе отправителя, при условии что тариф доставки с режимом «от склада» (не доступна для тарифов Посылка)
17;Разрешено;ДОСТАВКА В ГОРОДЕ ПОЛУЧАТЕЛЕ ;Дополнительная услуга доставки груза в городе получателя, при условии что тариф доставки с режимом «до склада» (только для тарифов «Магистральный», «Магистральный супер-экспресс»)
30;Разрешено;ПРИМЕРКА НА ДОМУ;Курьер доставляет покупателю несколько единиц товара (одежда, обувь и пр.) для примерки. Время ожидания курьера в этом случае составляет 30 минут.
36;Разрешено;ЧАСТИЧНАЯ ДОСТАВКА;Во время доставки товара покупатель может отказаться от одной или нескольких позиций, и выкупить только часть заказа 
37;Разрешено;ОСМОТР ВЛОЖЕНИЯ;Проверка покупателем содержимого заказа до его оплаты (вскрытие посылки). 
